Id,Designator,Package,Designation,Supplier and ref,Quantity
1,"D3,D1,D2,D4,D5,D6,D7,D8,D9,D10,D11,D12",SST-10-DR-B90-G660,LED_PAD,SST-10-DR-B90-G660,12
2,"R2,R1",R_0402_1005Metric,100k 1%,RMCF0402FT100K,2
3,"Q2,Q1",D_0603_1608Metric,Q_Photo_NPN,PT19-21B/L41/TR8,2
4,"U2,U1",SOT-23,MCP9700AT-E_TT,MCP9700AT-E/TT,2
5,"J2,J1",Conn_2x4_0.05in,Conn_02x04_Odd_Even,GRPB042VWVN-RC,2
6,"H4,H3,H1,H2,H5,H6",MH_0-80_Screw_Grounded,MountingHole_Pad,Not Populated,0
7,D13,D_0402_1005Metric,LEDR,QBLP595-R,1
8,D14,D_0402_1005Metric,LEDG,QBLP595-IG,1
9,"R3,R4",R_0402_1005Metric,2k7 5%,ERJ-2RKF2701X,2
10,"HS1,HS2,HS3",BomLightBackLEDHeatsink,Heatsink_Pad,Not Populated,0
