Ref,Val,Package,PosX,PosY,Rot,Side
"D1","LED_PAD","SST-10-DR-B90-G660",-13.970000,-2.540000,180.000000,top
"D2","LED_PAD","SST-10-DR-B90-G660",-19.050000,-2.540000,180.000000,top
"D3","LED_PAD","SST-10-DR-B90-G660",-19.050000,2.540000,0.000000,top
"D4","LED_PAD","SST-10-DR-B90-G660",-13.970000,2.540000,0.000000,top
"D5","LED_PAD","SST-10-DR-B90-G660",-2.540000,2.540000,0.000000,top
"D6","LED_PAD","SST-10-DR-B90-G660",2.540000,2.540000,0.000000,top
"D7","LED_PAD","SST-10-DR-B90-G660",-2.540000,-2.540000,0.000000,top
"D8","LED_PAD","SST-10-DR-B90-G660",2.540000,-2.540000,0.000000,top
"D9","LED_PAD","SST-10-DR-B90-G660",13.970000,-2.540000,0.000000,top
"D10","LED_PAD","SST-10-DR-B90-G660",19.050000,-2.540000,0.000000,top
"D11","LED_PAD","SST-10-DR-B90-G660",19.050000,2.540000,180.000000,top
"D12","LED_PAD","SST-10-DR-B90-G660",13.970000,2.540000,180.000000,top
"D13","LEDR","D_0402_1005Metric",-5.560660,0.983560,90.000000,top
"D14","LEDG","D_0402_1005Metric",-6.576660,0.983560,90.000000,top
"Q1","Q_Photo_NPN","D_0603_1608Metric",-10.541000,0.000000,90.000000,top
"Q2","Q_Photo_NPN","D_0603_1608Metric",10.541000,0.000000,270.000000,top
"R1","100k 1%","R_0402_1005Metric",-10.541000,2.540000,90.000000,top
"R2","100k 1%","R_0402_1005Metric",10.541000,-2.540000,270.000000,top
"R3","2k7 5%","R_0402_1005Metric",-5.560660,-0.984940,270.000000,top
"R4","2k7 5%","R_0402_1005Metric",-6.576660,-0.984940,270.000000,top
"U1","MCP9700AT-E_TT","SOT-23",-8.255000,-4.699000,270.000000,top
"U2","MCP9700AT-E_TT","SOT-23",8.255000,4.699000,90.000000,top
