Id,Designator,Package,Quantity,Designation,Supplier and ref
1,"D1,D11,D3,D2,D4,D5,D6,D7,D8,D9,D10,D12",SST-10-DR-B90-G660,12,LED_PAD_REV,SST-10-DR-B90-G660
2,"R2,R1",R_0402_1005Metric,2,100k 1%,RMCF0402FT100K
3,"U2,U1",SOT-23,2,MCP9700AT-E_TT,MCP9700AT-E/TT
4,"J2,J1",Conn_2x4_0.05in,2,Conn_02x04_Odd_Even,GRPB042VWVN-RC
5,"H4,H3,H1,H2,H5,H6",Not Populated,0,Not Populated,Not Populated
6,D13,D_0402_1005Metric,1,LEDR,QBLP595-R
7,D14,D_0402_1005Metric,1,LEDG,QBLP595-IG
8,"R3,R4",R_0402_1005Metric,2,2k7 5%,ERJ-2RKF2701X
9,"HS1,HS2,HS3",Not Populated,0,Not Populated,Not Populated
10,"Q1,Q3",D_0603_1608Metric,2,Q_Photo_NPN_EC,PT19-21B/L41/TR8
