Ref,Val,Package,PosX,PosY,Rot,Side
"D1","LEDR","D_0402_1005Metric",-5.280660,0.543560,90.000000,top
"D2","LEDG","D_0402_1005Metric",-6.296660,0.543560,90.000000,top
"Q1","Q_Photo_NPN","D_0603_1608Metric",-10.350500,0.000000,90.000000,top
"Q2","Q_Photo_NPN","D_0603_1608Metric",10.350500,0.000000,270.000000,top
"R1","2k7 5%","R_0402_1005Metric",-5.280660,-1.424940,270.000000,top
"R2","390 5%","R_0402_1005Metric",-6.296660,-1.424940,270.000000,top
"R3","10k 1%","R_0402_1005Metric",-10.541000,2.032000,180.000000,top
"R4","10k 1%","R_0402_1005Metric",10.541000,-2.032000,0.000000,top
"U1","MCP9700AT-E_TT","SOT-23",-11.938000,-4.572000,315.000000,top
"U2","MCP9700AT-E_TT","SOT-23",11.938000,4.445000,135.000000,top
