"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"H1,H2";"ThermalPad_SkateLight";2;"MountingHole_Pad";;;
2;"J2";"TC2030MCP";1;"TC2030-MCP";;;
3;"Q1";"DQG_VSON-CLIP";1;"CSD19537Q3";;;
4;"D6";"LED_0805_2012Metric";1;"LEDR";;;
5;"IC1";"LGA-14(2.5X3X0.86)";1;"LSM6DS3USTR";;;
6;"C19,C18";"C_0805_2012Metric";2;"0.47uF";;;
7;"L1";"SRR4028-151Y";1;"SRR4028-151Y";;;
8;"L2";"IHLP6767GZER470M11";1;"IHLP6767GZER470M11";;;
9;"R10,R2";"R_0805_2012Metric";2;"10k";;;
10;"R9";"R_0805_2012Metric";1;"68k";;;
11;"R12,R3";"R_0805_2012Metric";2;"4k7";;;
12;"J4";"Conn_2x8_0.05in";1;"Conn_02x08_Odd_Even";;;
13;"C1,C3,C15,C2,C4,C5,C6";"C_0805_2012Metric";7;"100nF";;;
14;"C8";"C_0805_2012Metric";1;"4.7uF";;;
15;"C9";"C_0805_2012Metric";1;"22nF";;;
16;"C10,C11,C20,C21";"C_1210_3225Metric";4;"10uF";;;
17;"C12";"C_0805_2012Metric";1;"0.1uF";;;
18;"C13";"C_0805_2012Metric";1;"220nF";;;
19;"C14";"C_0805_2012Metric";1;"6.8nF";;;
20;"C16";"C_0805_2012Metric";1;"2.2nF";;;
21;"C17";"C_0805_2012Metric";1;"1uF";;;
22;"D2,D3";"LED_0805_2012Metric";2;"LEDO";;;
23;"D4,D5";"TO-277A";2;"D_Schottky_AAK";;;
24;"IC2";"TSSOP-8_3x3mm_P0.65mm";1;"MCP4132-502E_SN";;;
25;"IC3";"SOP65P640X110-21N";1;"LM5118MH_NOPB";;;
26;"J3";"JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal";1;"Conn_01x02_Male";;;
27;"R1";"R_0805_2012Metric";1;"120";;;
28;"R4,R14";"R_0805_2012Metric";2;"100k";;;
29;"R5";"R_0805_2012Metric";1;"33k";;;
30;"R6,R19";"R_0805_2012Metric";2;"1k2";;;
31;"R7";"R_0805_2012Metric";1;"47k";;;
32;"R8";"R_0805_2012Metric";1;"1k";;;
33;"R11";"R_0805_2012Metric";1;"20k5";;;
34;"R13";"R_0805_2012Metric";1;"220k";;;
35;"R15";"R_0805_2012Metric";1;"5k62";;;
36;"R16";"R_0805_2012Metric";1;"36k5";;;
37;"R17";"R_2512_6332Metric";1;"0.05";;;
38;"U1";"SOIC-8_3.9x4.9mm_P1.27mm";1;"SN65HVD233";;;
39;"D1";"D_0805_2012Metric";1;"D_Photo";;;
40;"J1";"JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal";1;"Conn_01x04_Male";;;
41;"U2";"LQFP-32_7x7mm_P0.8mm";1;"STM32F042K6Tx";;;
42;"C7";"C_0805_2012Metric";1;"33nF";;;
43;"Q2";"FDMC86139P";1;"FDMC86240";;;
44;"U3";"SOT-23";1;"MCP9700AT-E_TT";;;
45;"U4";"Texas_S-PVSON-N10_ThermalVias";1;"LM5165";;;
46;"D7";"LED_0805_2012Metric";1;"LEDG";;;
47;"R18";"R_0805_2012Metric";1;"1k5";;;
