Id,Designator,Package,Quantity,Designation,Supplier and ref
1,"H2,H1",ThermalPadV2_SkateLight,2,MountingHole_Pad,
2,Q1,DQG_VSON-CLIP,1,CSD19537Q3,
3,IC1,LGA-14(2.5X3X0.86),1,LSM6DS3USTR,
4,"C19,C18",C_0805_2012Metric,2,0.47uF,
5,L2,IHLP6767GZER470M11,1,IHLP6767GZER470M11,
6,"R10,R18,R22",R_0805_2012Metric,3,10k,
7,R9,R_0805_2012Metric,1,68k,
8,R12,R_0805_2012Metric,1,4k7,
9,J4,Conn_2x8_0.05in,1,Conn_02x08_Odd_Even,
10,"C1,C3,C15,C5,C6,C7,C8,C22",C_0805_2012Metric,8,100nF,
11,C9,C_0805_2012Metric,1,22nF,
12,"C10,C11,C20,C21",C_1210_3225Metric,4,10uF,
13,C12,C_0805_2012Metric,1,0.1uF,
14,C13,C_0805_2012Metric,1,220nF,
15,C14,C_0805_2012Metric,1,6.8nF,
16,C16,C_0805_2012Metric,1,2.2nF,
17,"C17,C23,C4",C_0805_2012Metric,3,1uF,
18,"D2,D3",LED_0805_2012Metric,2,LEDO,
19,"D4,D5",TO-277A,2,D_Schottky_AAK,
20,IC2,TSSOP-8_3x3mm_P0.65mm,1,MCP4132-502E_SN,
21,IC3,SOP65P640X110-21N,1,LM5118MH_NOPB,
22,R1,R_0805_2012Metric,1,120,
23,R5,R_0805_2012Metric,1,33k,
24,R6,R_0805_2012Metric,1,1k2,
25,R7,R_0805_2012Metric,1,47k,
26,R8,R_0805_2012Metric,1,1k,
27,R11,R_0805_2012Metric,1,20k5,
28,R13,R_0805_2012Metric,1,220k,
29,"R14,R2,R21",R_0805_2012Metric,3,100k,
30,R15,R_0805_2012Metric,1,5k62,
31,R16,R_0805_2012Metric,1,36k5,
32,R17,R_2512_6332Metric,1,0.05,
33,U1,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD233,
34,Q2,FDMC86139P,1,FDMC86240,
35,R23,R_2512_6332Metric,1,0.5,
36,Q3,D_0603_1608Metric,1,Q_Photo_NPN,
37,R3,R_0805_2012Metric,1,R,
38,C2,C_0805_2012Metric,1,10uF,
39,D1,D_SOD-323_HandSoldering,1,D_Zener,
40,D6,LED_0805_2012Metric,1,LEDR,
41,IC4,MAXM15462AMB,1,MAXM15062AMB+,
42,J2,TC2030MCP,1,TC2030-MCP,
43,J3,2WirePad,1,Conn_01x02_Male,
44,R4,R_0805_2012Metric,1,180k,
45,R19,R_0805_2012Metric,1,1k5,
46,U2,LQFP-32_7x7mm_P0.8mm,1,STM32F042K6Tx,
47,J1,4 Wire Pad,1,Conn_01x04_Male,
48,J5,JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,1,Conn_01x06_Male,
,,,,,
,,,68,,
