"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"IC1";"LGA-14(2.5X3X0.86)";1;"LSM6DS3USTR";;;
2;"Q1";"DQG_VSON-CLIP";1;"CSD19537Q3";;;
3;"R10,R18,R22";"R_0805_2012Metric";3;"10k";;;
4;"R9";"R_0805_2012Metric";1;"68k";;;
5;"R12";"R_0805_2012Metric";1;"330";;;
6;"J4";"Conn_2x8_0.05in";1;"Conn_02x08_Odd_Even";;;
7;"C1,C3,C15,C5,C6,C7,C8,C22";"C_0805_2012Metric";8;"100nF";;;
8;"C9";"C_0805_2012Metric";1;"22nF";;;
9;"C10,C20";"C_1210_3225Metric";2;"10uF";;;
10;"C12,C11";"C_0805_2012Metric";2;"0.1uF";;;
11;"C13";"C_0805_2012Metric";1;"220nF";;;
12;"C14";"C_0805_2012Metric";1;"6.8nF";;;
13;"C16";"C_0805_2012Metric";1;"2.2nF";;;
14;"C17,C23,C4";"C_0805_2012Metric";3;"1uF";;;
15;"D2,D3";"LED_0805_2012Metric";2;"LEDO";;;
16;"D4,D5,D1";"TO-277A";3;"D_Schottky_AAK";;;
17;"IC2";"TSSOP-8_3x3mm_P0.65mm";1;"MCP4132-502E_SN";;;
18;"IC3";"SOP65P640X110-21N";1;"LM5118MH_NOPB";;;
19;"R1";"R_0805_2012Metric";1;"120";;;
20;"R5";"R_0805_2012Metric";1;"33k";;;
21;"R6";"R_0805_2012Metric";1;"1k2";;;
22;"R7,R13";"R_0805_2012Metric";2;"47k";;;
23;"R8";"R_0805_2012Metric";1;"1k";;;
24;"R11";"R_0805_2012Metric";1;"20k5";;;
25;"R14";"R_0805_2012Metric";1;"22k";;;
26;"R15";"R_0805_2012Metric";1;"5k62";;;
27;"R16";"R_0805_2012Metric";1;"36k5";;;
28;"U1";"SOIC-8_3.9x4.9mm_P1.27mm";1;"SN65HVD233";;;
29;"Q2";"FDMC86139P";1;"FDMC86240";;;
30;"R23";"R_2512_6332Metric";1;".5";;;
31;"C2";"C_0805_2012Metric";1;"10uF";;;
32;"D6";"LED_0805_2012Metric";1;"LEDR";;;
33;"IC4";"MAXM15462AMB";1;"MAXM15062AMB+";;;
34;"J2";"TC2030MCP";1;"TC2030-MCP";;;
35;"J3";"2WirePad";1;"Conn_01x02_Male";;;
36;"R19";"R_0805_2012Metric";1;"1k5";;;
37;"R21,R2";"R_0805_2012Metric";2;"100k";;;
38;"U2";"LQFP-32_7x7mm_P0.8mm";1;"STM32F042K6Tx";;;
39;"J1";"4 Wire Pad";1;"Conn_01x04_Male";;;
40;"J5";"JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical";1;"Conn_01x06_Male";;;
41;"L1";"‎ETQ-P5M101YGC‎ Inductor";1;"INDUCTOR";;;
42;"R17";"R_1206_3216Metric";1;"0.05";;;
43;"J6";"PinHeader_1x08_P2.54mm_Vertical";1;"Conn_01x08_Male";;;
44;"H1";"ThermalPadV2_SkateLight_L";1;"MountingHole_Pad";;;
45;"H2";"ThermalPadV2_SkateLight_R";1;"MountingHole_Pad";;;
46;"R3";"R_0805_2012Metric";1;"4k7";;;
47;"D7";"D_SOD-323";1;"3V6";;;
