Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF 10V","C_0805_2012Metric",-6.835000,-0.329580,270.000000,bottom
"C2","0.1uF 25V","C_0805_2012Metric",13.097040,3.660720,90.000000,bottom
"C3","10uF 10V","C_0805_2012Metric",-6.780000,3.670000,90.000000,bottom
"C4","1uF 25V","C_0805_2012Metric",-9.970000,6.280000,180.000000,bottom
"C5","1uF 100V","C_0805_2012Metric",-12.670000,3.550000,90.000000,bottom
"C7","10uF 100V","C_1210_3225Metric",-11.122660,-10.434320,0.000000,bottom
"C15","10uF 100V","C_1210_3225Metric",-3.157220,-30.721300,180.000000,bottom
"C26","27pF 25V","C_0805_2012Metric",-12.850000,10.560000,90.000000,bottom
"C27","27pF 25V","C_0805_2012Metric",-6.730000,11.550000,270.000000,bottom
"C28","10uF 100V","C_1210_3225Metric",-5.980000,-23.670000,270.000000,bottom
"C29","1uF 25V","C_0805_2012Metric",-12.677000,-0.329580,90.000000,bottom
"D7","3v6 5%","D_SOD-323",0.616620,12.464480,270.000000,bottom
"IC1","LSM6DS3USTR","LGA-14(2.5X3X0.86)",10.684040,3.660720,270.000000,bottom
"IC2","MAXM15062AMB+","MAXM15462AMB",-9.956000,3.686000,180.000000,bottom
"IC7","MCP2562-E_SN","SOIC127P600X175-8N",-3.091180,9.598660,270.000000,bottom
"IC8","MCP2515T-I_SO","SOIC127P1030X265-18N",-6.393180,20.012660,90.000000,bottom
"IC9","AP2139AK-3.3TRG1","SOT-23-5",-9.756000,-0.329580,90.000000,bottom
"L2","7447709330‎ 33uH 4.2A 45MOHM","WE-PD_1260%2f1245%2f1280%2f121054",6.451600,-26.035000,0.000000,bottom
"R1","120 5%","R_0805_2012Metric",0.650000,8.770000,90.000000,bottom
"R18","100k 5%","R_0805_2012Metric",2.596620,12.626980,90.000000,bottom
"R19","4k7 5%","R_0805_2012Metric",2.596620,16.074480,90.000000,bottom
"R29","10k 5%","R_0805_2012Metric",0.906780,23.860760,270.000000,bottom
"R30","2k2 5%","R_0805_2012Metric",7.382040,1.628720,180.000000,bottom
"R31","3k3 5%","R_0805_2012Metric",3.826040,1.628720,180.000000,bottom
"R32","2k2 5%","R_0805_2012Metric",7.382040,3.660720,180.000000,bottom
"R33","3k3 5%","R_0805_2012Metric",3.826040,3.660720,180.000000,bottom
"R34","2k2 5%","R_0805_2012Metric",7.382040,5.692720,180.000000,bottom
"R35","3k3 5%","R_0805_2012Metric",3.826040,5.692720,180.000000,bottom
"R38","1k 5%","R_0805_2012Metric",11.214100,8.409940,90.000000,bottom
"Y1","ECS-80-18-30B-AGN-TR","ECS801830BAGNTR",-9.820000,10.500000,90.000000,bottom
