Ref,Val,Package,PosX,PosY,Rot,Side
"C6","22nF 100V","C_0805_2012Metric",3.139440,-28.105100,0.000000,top
"C8","0.1uF 100V","C_0805_2012Metric",-3.718560,-30.073600,180.000000,top
"C9","0.1uF 100V","C_0805_2012Metric",-0.289560,-26.136600,180.000000,top
"C10","2.2nF 100V","C_0805_2012Metric",3.139440,-22.199600,0.000000,top
"C11","0.1uF 100V","C_0805_2012Metric",-11.592560,-28.105100,180.000000,top
"C12","2.2nF 100V","C_0805_2012Metric",-11.592560,-22.199600,0.000000,top
"C13","1uF 25V","C_0805_2012Metric",-11.592560,-24.168100,180.000000,top
"C14","0.1uF 100V","C_0805_2012Metric",2.907440,-9.506600,180.000000,top
"C16","0.1uF 25V","C_0805_2012Metric",-3.746500,14.234160,0.000000,top
"C17","0.1uF 25V","C_0805_2012Metric",-11.452860,23.502620,90.000000,top
"C18","0.1uF 25V","C_0805_2012Metric",1.237140,22.147120,270.000000,top
"C19","0.1uF 25V","C_0805_2012Metric",1.232060,18.710500,270.000000,top
"C20","0.1uF 25V","C_0805_2012Metric",-4.716780,7.652780,90.000000,top
"C21","1uF 25V","C_0805_2012Metric",7.145260,-29.672280,180.000000,top
"C22","0.1uF 100V","C_0805_2012Metric",10.637520,-29.679900,180.000000,top
"C23","10uF 16V","C_0805_2012Metric",10.228580,-20.045680,180.000000,top
"C24","10uF 16V","C_0805_2012Metric",10.233660,-18.016220,180.000000,top
"C25","0.1uF 25V","C_0805_2012Metric",-11.447780,20.038060,270.000000,top
"D1","D_Schottky_AAK","TO-277A",-10.901680,-3.959860,0.000000,top
"D2","LEDO","LED_0805_2012Metric",-14.183360,9.192260,180.000000,top
"D3","LEDO","LED_0805_2012Metric",-14.183360,4.874260,180.000000,top
"D4","D_Schottky_AAK","TO-277A",-9.856880,-15.465740,90.000000,top
"D5","D_Schottky_AAK","TO-277A",1.487440,-13.336600,90.000000,top
"D6","LEDR","LED_0805_2012Metric",-14.183360,11.351260,180.000000,top
"D8","LEDO","LED_0805_2012Metric",-14.183360,7.033260,180.000000,top
"D9","LEDO","LED_0805_2012Metric",-14.183360,2.715260,180.000000,top
"D10","3v6 5%","D_SOD-323",11.259820,7.480300,0.000000,top
"D11","D","D_SOD-323",4.531360,7.482840,0.000000,top
"IC3","MCP4132-502E_SN","TSSOP-8_3x3mm_P0.65mm",-5.920000,-19.960000,0.000000,top
"IC4","LM5118MH_NOPB","SOP65P640X110-21N",-5.941060,-25.501600,180.000000,top
"IC5","LMR36520FADDAR","SOIC127P600X170-9N",9.159240,-24.866600,270.000000,top
"IC6","ATMEGA328P-AUR","TQFP-32_7x7mm_P0.8mm",-5.080000,20.584160,180.000000,top
"Q1","PSMN039-100YS,115","PSMN5R660YLX",-12.123420,-10.185400,90.000000,top
"Q2","PSMN039-100YS,115","PSMN5R660YLX",-0.732560,-18.586600,90.000000,top
"Q3","FDMA410NZ","FDMA410NZ",3.985260,2.887980,90.000000,top
"Q4","FDMA410NZ","FDMA410NZ",7.769860,2.887980,90.000000,top
"Q5","FDMA410NZ","FDMA410NZ",11.529060,2.887980,90.000000,top
"Q6","FDMA410NZ","FDMA410NZ",16.240760,-3.195320,0.000000,top
"R2","33k 5%","R_0805_2012Metric",-10.627360,9.192260,0.000000,top
"R3","3k3 5%","R_0805_2012Metric",-10.627360,4.874260,0.000000,top
"R4","47k 5%","R_0805_2012Metric",3.139440,-30.073600,0.000000,top
"R5","1k 5%","R_0805_2012Metric",-0.289560,-28.105100,0.000000,top
"R6","68k 5%","R_0805_2012Metric",-7.147560,-30.073600,180.000000,top
"R7","10k 5%","R_0805_2012Metric",-11.577560,-30.073600,180.000000,top
"R8","20k5 1%","R_0805_2012Metric",-0.289560,-30.073600,0.000000,top
"R9","330 1%","R_0805_2012Metric",3.139440,-26.136600,0.000000,top
"R10","47k 1%","R_0805_2012Metric",-0.289560,-22.199600,0.000000,top
"R11","22k 1%","R_0805_2012Metric",3.139440,-24.168100,0.000000,top
"R12","10k 5%","R_0805_2012Metric",-0.289560,-24.168100,180.000000,top
"R13","36k5 1%","R_0805_2012Metric",-11.592560,-26.136600,180.000000,top
"R14","0.03 1% 0.5W","R_1206_3216Metric",-11.230000,-19.278600,0.000000,top
"R15","0.3 1% 1W","R_2512_6332Metric",-9.438640,-33.075880,180.000000,top
"R16","10k 5%","R_0805_2012Metric",-3.743960,12.268200,180.000000,top
"R17","1k5 5%","R_0805_2012Metric",-10.627360,11.351260,0.000000,top
"R20","100k 5%","R_0805_2012Metric",-0.728980,7.650480,270.000000,top
"R21","10k 5%","R_0805_2012Metric",-2.735580,7.650480,270.000000,top
"R22","100k %5","R_0805_2012Metric",13.047980,-24.805640,270.000000,top
"R23","100k 1%","R_0805_2012Metric",8.117840,-31.709360,180.000000,top
"R24","9.09 1%","R_0805_2012Metric",8.115300,-33.738820,0.000000,top
"R25","10k 5%","R_0805_2012Metric",-10.627360,7.033260,0.000000,top
"R26","330 5%","R_0805_2012Metric",4.163060,5.529580,0.000000,top
"R27","330 5%","R_0805_2012Metric",7.896860,5.504180,0.000000,top
"R28","330 5%","R_0805_2012Metric",11.679160,5.504180,0.000000,top
"R36","1k2 5%","R_0805_2012Metric",-10.627360,2.715260,0.000000,top
"R37","330 5%","R_0805_2012Metric",7.899400,7.482840,0.000000,top
"R39","47k %5","R_0805_2012Metric",6.700520,-20.050760,0.000000,top
"R40","330 5%","R_0805_2012Metric",18.811240,-3.335020,270.000000,top
